,ZIPCODE,Total Annual Payroll,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
80,10451,1015618,47818.0,31.6,27197.0,15672.0,16458.0,34.418001589359655
81,10452,170661,75252.0,30.4,24965.0,12942.0,29924.0,39.76505607824377
82,10453,184739,79002.0,31.0,24741.0,12459.0,32209.0,40.76985392774866
83,10454,331808,38751.0,28.6,19536.0,11429.0,18699.0,48.25423860029419
84,10455,337972,39951.0,30.0,22996.0,12442.0,16044.0,40.15919501389202
85,10456,0,91737.0,29.7,22962.0,12157.0,37837.0,41.24508104690583
86,10457,596711,71015.0,29.4,24883.0,12768.0,28149.0,39.638104625783285
87,10458,509190,76276.0,29.4,24829.0,14046.0,28765.0,37.71173108186061
88,10459,152908,48269.0,28.7,23400.0,12616.0,19612.0,40.63063249704779
89,10460,200098,58676.0,30.0,23289.0,12795.0,23971.0,40.85315972458927
90,10461,902152,52435.0,37.1,52230.0,27484.0,8211.0,15.65938781348336
91,10462,542297,76114.0,35.0,45234.0,22296.0,15957.0,20.964605722994456
92,10463,395981,71238.0,38.0,55354.0,31572.0,12323.0,17.29835200314439
93,10464,38817,4532.0,48.4,75696.0,43196.0,184.0,4.060017652250662
94,10465,463938,46360.0,39.3,68831.0,30235.0,6213.0,13.401639344262295
95,10466,236673,69657.0,36.1,42587.0,19944.0,14846.0,21.313005153825173
96,10467,0,99251.0,33.1,35852.0,18103.0,27541.0,27.748838802631713
97,10468,254352,72683.0,31.9,33585.0,15710.0,23516.0,32.35419561658159
98,10469,279951,72241.0,37.0,57680.0,23044.0,9165.0,12.686701457621018
99,10470,104088,14880.0,36.0,58330.0,28926.0,1801.0,12.103494623655914
100,10471,363342,21935.0,43.7,73684.0,41945.0,1787.0,8.146797355824026
101,10472,120683,69659.0,31.3,30541.0,14970.0,24007.0,34.46360125755466
102,10473,240957,59948.0,36.5,36729.0,19760.0,16166.0,26.966704477213586
103,10474,774052,12223.0,29.9,26460.0,11609.0,4657.0,38.100302708009494
104,10475,365699,44582.0,46.2,45886.0,26215.0,4437.0,9.95244717599031
105,11004,134192,14045.0,44.1,82054.0,36326.0,1221.0,8.693485226059096
106,11005,12509,2123.0,81.4,61587.0,70320.0,27.0,1.2717852096090438
107,11101,4339898,25317.0,35.4,48509.0,34276.0,5351.0,21.135995576095112
108,11102,305909,35027.0,32.6,50160.0,28118.0,6471.0,18.474319810431954
109,11103,268887,38257.0,34.4,57733.0,32578.0,5494.0,14.360770577933451
110,11104,249615,26555.0,37.6,56578.0,31798.0,3667.0,13.809075503671625
111,11105,660444,36816.0,34.8,60247.0,33350.0,4960.0,13.472403302911777
112,11106,413094,38633.0,36.1,52399.0,31376.0,7718.0,19.97773923847488
113,11109,14252,4337.0,32.2,128693.0,91699.0,381.0,8.784874337099378
114,11201,2821051,56488.0,34.9,98775.0,68287.0,7599.0,13.452414672142757
115,11203,943691,77011.0,38.9,46630.0,22555.0,13120.0,17.036527249353988
116,11204,380362,80349.0,34.6,45593.0,20284.0,18287.0,22.759461847689455
117,11205,599452,43320.0,29.4,47050.0,26331.0,14264.0,32.92705447830102
118,11206,634467,83180.0,29.0,30686.0,17241.0,29653.0,35.64919451791296
119,11207,441298,93465.0,31.3,33816.0,16386.0,30716.0,32.86363879527096
120,11208,372454,92262.0,30.9,34527.0,15154.0,30863.0,33.45147514686437
121,11209,602819,72582.0,39.2,59934.0,36870.0,11274.0,15.532776721501198
122,11210,312421,67042.0,34.9,56052.0,25229.0,10082.0,15.038334178574624
123,11211,1000260,94681.0,30.1,50943.0,30557.0,29779.0,31.451928053146883
124,11212,465191,87751.0,31.7,28146.0,15814.0,30354.0,34.59105879135281
125,11213,236235,62756.0,32.8,34804.0,18635.0,17012.0,27.108164956338836
126,11214,405609,88297.0,39.5,45838.0,23134.0,16325.0,18.488736876677578
127,11215,969749,70156.0,34.6,99040.0,58737.0,5758.0,8.207423456297395
128,11216,133822,54440.0,34.4,45566.0,28134.0,11867.0,21.798310066127847
129,11217,691074,38567.0,35.4,85199.0,53380.0,5554.0,14.400912697383774
130,11218,429747,75132.0,32.5,54441.0,24828.0,16863.0,22.444497684076026
131,11219,1365295,98719.0,27.7,35083.0,14419.0,35459.0,35.91912397816023
132,11220,1106078,101715.0,32.5,38052.0,16257.0,32359.0,31.81340018679644
133,11221,150486,83773.0,31.4,39785.0,19340.0,22456.0,26.80577274300789
134,11222,773723,34580.0,33.9,66610.0,40119.0,4362.0,12.614227877385773
135,11223,507560,76651.0,37.4,40873.0,22570.0,14896.0,19.43353641831157
136,11224,197597,42698.0,46.6,27011.0,20916.0,12561.0,29.418239730198135
137,11225,118904,59613.0,33.9,43543.0,23552.0,12853.0,21.56073339707782
138,11226,263537,98299.0,35.0,42182.0,21483.0,19774.0,20.116176156420718
139,11228,181928,46059.0,39.9,62821.0,29683.0,5461.0,11.85653183959704
140,11229,480875,81351.0,40.8,51985.0,27246.0,12169.0,14.958636033976227
141,11230,645852,87064.0,34.7,41820.0,23792.0,20899.0,24.00418083249104
142,11231,485564,34605.0,35.6,83383.0,52748.0,5640.0,16.298222800173384
143,11232,672305,29452.0,31.7,44583.0,19325.0,7568.0,25.69604780660057
144,11233,120272,69637.0,33.6,34432.0,19696.0,21297.0,30.582879790915747
145,11234,684604,95610.0,38.7,67713.0,29736.0,9115.0,9.533521598159188
146,11235,694857,75622.0,44.5,42257.0,29182.0,16573.0,21.915580122186665
147,11236,414309,97714.0,37.3,60135.0,24929.0,14002.0,14.329574063082056
148,11237,481620,55258.0,29.1,42496.0,18373.0,17468.0,31.611712331246153
