,ZIPCODE,Total Annual Payroll,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
0,10001,9003675,23332.0,35.8,85168.0,86347.0,3922.0,16.809531973255616
1,10002,723242,78096.0,41.1,35594.0,29666.0,21559.0,27.605767260807212
2,10003,6918342,56767.0,32.2,100791.0,85199.0,4655.0,8.200186728204766
3,10004,5638373,3044.0,33.9,123056.0,95707.0,147.0,4.829172141918528
4,10005,6595876,8710.0,29.5,130116.0,99511.0,1052.0,12.078071182548795
5,10006,2322344,3277.0,31.0,125364.0,100788.0,221.0,6.743973146170278
6,10007,3340212,6740.0,35.9,234958.0,166343.0,200.0,2.9673590504451037
7,10009,461216,59799.0,36.3,60788.0,46499.0,13469.0,22.52378802321109
8,10010,8190046,32854.0,35.0,110142.0,83240.0,3587.0,10.918000852255433
9,10011,5677603,50404.0,39.9,114134.0,113379.0,4806.0,9.534957543052139
10,10012,2765485,24536.0,34.1,101815.0,79481.0,2421.0,9.867134007173133
11,10013,8251251,28211.0,36.9,104167.0,108003.0,2805.0,9.942930062741484
12,10014,3085067,31464.0,36.6,119026.0,115888.0,1874.0,5.956013221459446
13,10016,9941135,50444.0,33.3,102703.0,87451.0,5095.0,10.100309253826024
14,10017,20206253,16533.0,37.7,106795.0,103346.0,995.0,6.018266497308414
15,10018,11358817,9684.0,31.2,105479.0,81964.0,1492.0,15.406856670797191
16,10019,21082378,39505.0,39.2,94477.0,90151.0,4658.0,11.790912542716113
17,10020,4589084,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
18,10021,5807071,45261.0,38.4,115681.0,116440.0,3045.0,6.727646318022138
19,10022,23065864,30262.0,45.9,123693.0,133504.0,1454.0,4.804705571343599
20,10023,2889492,60307.0,42.5,115080.0,111473.0,4419.0,7.327507586184025
21,10024,947895,58516.0,43.0,118594.0,106735.0,4440.0,7.587668330029394
22,10025,1009275,94717.0,40.6,80025.0,63711.0,14515.0,15.324598540916625
23,10026,114133,38540.0,34.4,52082.0,36542.0,10994.0,28.526206538661132
24,10027,2683670,64120.0,30.6,42754.0,28396.0,17374.0,27.096069868995635
25,10028,920912,48205.0,39.6,111302.0,108183.0,2840.0,5.891505030598486
26,10029,2093073,79411.0,33.6,32500.0,27030.0,24025.0,30.25399503847074
27,10030,83392,30358.0,34.1,33720.0,24542.0,9351.0,30.802424402134527
28,10031,148153,60778.0,34.4,41848.0,24556.0,14753.0,24.273585836980487
29,10032,1224277,63189.0,34.2,40054.0,20843.0,16912.0,26.764151988479007
30,10033,207691,59353.0,35.4,46349.0,24421.0,14507.0,24.441898471854834
31,10034,144381,43951.0,35.7,45643.0,24538.0,11005.0,25.039248253737117
32,10035,478261,34187.0,35.9,26893.0,20743.0,13205.0,38.625793430251264
33,10036,20909385,25987.0,36.6,83812.0,77208.0,3233.0,12.440835802516643
34,10037,231498,20112.0,34.9,39463.0,26927.0,5813.0,28.903142402545743
35,10038,3630246,22300.0,34.6,82910.0,59706.0,3763.0,16.87443946188341
36,10039,45596,27471.0,32.3,32257.0,21880.0,8387.0,30.53037748898839
37,10040,143035,45033.0,37.7,45811.0,23744.0,9907.0,21.999422645615436
38,10044,30299,11731.0,39.5,86483.0,49076.0,1478.0,12.59909641121814
39,10069,33332,5231.0,34.1,155702.0,122444.0,474.0,9.061364939782068
40,10103,1373714,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
41,10110,268733,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
42,10111,666157,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
43,10112,1575353,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
44,10115,151254,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
45,10119,1081753,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
46,10128,909060,63006.0,38.9,103817.0,92067.0,4205.0,6.6739675586452085
47,10152,705246,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
48,10153,1539510,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
49,10154,1329432,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
50,10162,6495,1253.0,41.3,178822.0,114279.0,0.0,0.0
51,10165,360108,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
52,10167,1556972,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
53,10168,318146,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
54,10169,564784,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
55,10170,680653,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
56,10171,723371,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
57,10172,1351837,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
58,10173,377630,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
59,10174,527454,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
60,10177,573495,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
61,10199,874,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
62,10271,310784,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
63,10278,36555,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
64,10279,214548,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
65,10280,49296,9845.0,37.5,146875.0,101003.0,567.0,5.759268664296597
66,10282,0,5635.0,34.5,250001.0,132007.0,268.0,4.755989352262644
67,10301,271471,39519.0,36.9,55700.0,28233.0,8885.0,22.482856347579645
68,10302,232032,17758.0,33.6,55864.0,24433.0,4027.0,22.677103277396103
69,10303,321219,24562.0,32.5,55198.0,21991.0,6175.0,25.14046087452162
70,10304,210633,42054.0,36.5,53843.0,30064.0,8828.0,20.992057830408523
71,10305,820809,41533.0,39.6,74063.0,30422.0,4993.0,12.021765824765849
72,10306,345812,55031.0,42.3,78745.0,35191.0,4793.0,8.709636386763824
73,10307,54830,15275.0,38.0,77278.0,36505.0,1156.0,7.567921440261866
74,10308,79489,30347.0,42.7,87493.0,35044.0,2084.0,6.867235641084786
75,10309,338636,33459.0,39.8,93248.0,38443.0,2990.0,8.936310110881974
76,10310,346052,24250.0,35.6,69201.0,29660.0,4389.0,18.098969072164948
77,10311,41747,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,
78,10312,258524,60951.0,41.9,88567.0,37173.0,3985.0,6.538038752440485
79,10314,869649,88585.0,41.1,77761.0,34099.0,8225.0,9.284867641248518
80,10451,997834,48289.0,32.2,26419.0,17663.0,17377.0,35.985421110397816
81,10452,242857,75288.0,31.0,25771.0,14136.0,29418.0,39.07395600892573
82,10453,208154,80516.0,30.1,22914.0,12702.0,34516.0,42.86849818669581
83,10454,328832,38938.0,28.3,21553.0,12325.0,18060.0,46.38142688376393
84,10455,354356,42779.0,30.5,23962.0,12897.0,18082.0,42.26840272096122
85,10456,364927,92712.0,30.0,25868.0,13274.0,37123.0,40.041202864785575
86,10457,678370,74010.0,29.6,25967.0,13626.0,28318.0,38.262396973381975
87,10458,572396,81698.0,29.1,30339.0,15656.0,29446.0,36.04249798036672
88,10459,178279,47972.0,29.8,24805.0,13167.0,18154.0,37.842908363211876
89,10460,210272,60266.0,30.8,24086.0,13186.0,24747.0,41.062954236219426
90,10461,903154,50255.0,38.1,55332.0,28443.0,7278.0,14.482141080489503
91,10462,593057,78725.0,35.1,48315.0,23628.0,15589.0,19.801841854557
92,10463,400793,71657.0,37.7,56568.0,31875.0,12278.0,17.13440417544692
93,10464,38448,4300.0,47.5,76917.0,40808.0,178.0,4.1395348837209305
94,10465,487516,44950.0,40.5,73068.0,32177.0,5819.0,12.945494994438265
95,10466,287760,71645.0,35.9,44354.0,21252.0,14014.0,19.560332193453835
96,10467,2038995,103045.0,33.4,34964.0,17484.0,30353.0,29.456062885147265
97,10468,275274,75537.0,32.0,34988.0,16705.0,23568.0,31.200603677667896
98,10469,303834,71664.0,38.6,57124.0,23628.0,10244.0,14.294485376200045
99,10470,162187,14574.0,39.8,58839.0,29849.0,1795.0,12.316453959105257
100,10471,394072,21601.0,42.7,81594.0,44640.0,1987.0,9.198648210730985
101,10472,116317,68972.0,31.6,29934.0,14624.0,24401.0,35.37812445630111
102,10473,271689,61818.0,35.7,36686.0,19146.0,18220.0,29.473616098870878
103,10474,897462,12793.0,30.0,26901.0,12158.0,4955.0,38.732119127647934
104,10475,374852,44749.0,46.1,46340.0,25863.0,4648.0,10.386824286576235
105,11004,156065,14722.0,45.1,91226.0,37442.0,932.0,6.330661594891998
106,11005,12171,1926.0,80.5,63368.0,69855.0,41.0,2.1287642782969884
107,11101,4723439,26505.0,35.7,51964.0,39670.0,5478.0,20.667798528579514
108,11102,345048,33750.0,33.6,56674.0,33318.0,5972.0,17.694814814814816
109,11103,304210,38861.0,33.9,62775.0,35378.0,5449.0,14.021769897841024
110,11104,283043,26102.0,38.8,57155.0,34638.0,3675.0,14.07938089035323
