,ZIPCODE,Total Annual Payroll,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Whites Alone,Non Whites
45,10119,827821,0.0,,,,0.0,,0.0,0
46,10128,689122,59443.0,38.9,96974.0,92010.0,4417.0,7.43064784751779,48615.0,10828
47,10152,551880,0.0,,,,0.0,,0.0,0
48,10153,1368831,0.0,,,,0.0,,0.0,0
49,10154,1124769,0.0,,,,0.0,,0.0,0
50,10162,5269,1590.0,38.7,165917.0,99910.0,10.0,0.6289308176100629,1435.0,155
51,10165,254882,0.0,,,,0.0,,0.0,0
52,10167,913545,0.0,,,,0.0,,0.0,0
53,10168,289544,0.0,,,,0.0,,0.0,0
54,10169,547975,0.0,,,,0.0,,0.0,0
55,10170,602193,0.0,,,,0.0,,0.0,0
56,10171,726601,0.0,,,,0.0,,0.0,0
57,10172,1040232,0.0,,,,0.0,,0.0,0
58,10173,192945,0.0,,,,0.0,,0.0,0
59,10174,340728,0.0,,,,0.0,,0.0,0
60,10177,289827,0.0,,,,0.0,,0.0,0
61,10199,0,0.0,,,,0.0,,0.0,0
62,10271,406406,0.0,,,,0.0,,0.0,0
63,10278,0,0.0,,,,0.0,,0.0,0
64,10279,132789,0.0,,,,0.0,,0.0,0
65,10280,52044,7610.0,37.7,125830.0,83703.0,362.0,4.756898817345598,5534.0,2076
66,10282,162829,5507.0,34.0,233409.0,126314.0,124.0,2.251679680406755,3837.0,1670
67,10301,241178,38851.0,34.4,54792.0,27596.0,7537.0,19.399758049985845,23133.0,15718
68,10302,196798,17090.0,33.2,56883.0,23181.0,4383.0,25.64657694558221,9645.0,7445
69,10303,242703,24933.0,31.5,50137.0,22778.0,4781.0,19.17539004532146,9613.0,15320
70,10304,188040,41845.0,35.1,51852.0,25019.0,8708.0,20.810132632333612,20348.0,21497
71,10305,663763,41309.0,39.7,66478.0,29698.0,3824.0,9.25706262557796,32377.0,8932
72,10306,292266,55692.0,41.1,77720.0,34534.0,3208.0,5.7602528190763485,49742.0,5950
73,10307,50613,14418.0,37.8,86011.0,37904.0,393.0,2.725759467332501,13527.0,891
74,10308,56903,28782.0,42.0,90196.0,37581.0,1209.0,4.200542005420054,27058.0,1724
75,10309,317666,31943.0,38.4,86759.0,34921.0,2146.0,6.718216823717246,28838.0,3105
76,10310,298136,24454.0,34.5,62457.0,28763.0,5169.0,21.137646192851886,14691.0,9763
77,10311,0,0.0,,,,0.0,,0.0,0
78,10312,152363,61136.0,40.4,87426.0,36131.0,3735.0,6.109330018319811,56863.0,4273
79,10314,701722,87921.0,40.8,79820.0,32777.0,7144.0,8.12547627984213,69001.0,18920
80,10451,945296,45931.0,30.8,26541.0,14314.0,16651.0,36.25220439354684,8700.0,37231
81,10452,162531,74520.0,30.4,26636.0,12851.0,27665.0,37.124261943102525,11416.0,63104
82,10453,150223,79143.0,30.0,26120.0,12692.0,30273.0,38.25101398733937,9208.0,69935
83,10454,316478,37850.0,28.9,19271.0,11362.0,17243.0,45.556142668428,14028.0,23822
84,10455,267245,38114.0,28.0,21379.0,11685.0,14937.0,39.19032376554547,7768.0,30346
85,10456,305092,87796.0,30.4,22604.0,12206.0,34609.0,39.41979133445715,9233.0,78563
86,10457,564780,69411.0,28.5,24445.0,12792.0,27532.0,39.66518275201337,10160.0,59251
87,10458,448841,74911.0,28.8,24478.0,13754.0,27618.0,36.86774972967922,14836.0,60075
88,10459,132565,47000.0,27.7,21913.0,12116.0,20157.0,42.88723404255319,6517.0,40483
89,10460,206410,56011.0,29.1,22625.0,12560.0,21417.0,38.237131991930156,8520.0,47491
90,10461,897472,51599.0,38.5,50329.0,25921.0,7495.0,14.525475299908914,27110.0,24489
91,10462,534122,75709.0,35.3,46001.0,21412.0,15573.0,20.569549194943797,17814.0,57895
92,10463,334489,69371.0,39.6,53282.0,30472.0,11492.0,16.566000201813438,31400.0,37971
93,10464,35900,3974.0,52.6,61063.0,40195.0,232.0,5.8379466532460995,3050.0,924
94,10465,456505,43897.0,40.2,63352.0,29519.0,5898.0,13.435997904184797,28423.0,15474
95,10466,212459,71631.0,35.3,44038.0,19509.0,14294.0,19.95504739568064,5887.0,65744
96,10467,0,96319.0,32.9,35358.0,17934.0,24762.0,25.70832338375606,18775.0,77544
97,10468,263546,73205.0,31.7,32985.0,15750.0,22392.0,30.588074585069325,10672.0,62533
98,10469,268267,71580.0,36.9,55724.0,23299.0,8929.0,12.474154791841297,14242.0,57338
99,10470,94796,15647.0,36.5,56058.0,27749.0,1742.0,11.133124560618649,7081.0,8566
100,10471,300530,21792.0,42.1,71286.0,45173.0,1473.0,6.759361233480176,15965.0,5827
101,10472,103718,67915.0,30.5,31594.0,15516.0,22325.0,32.8719723183391,9442.0,58473
102,10473,208033,58403.0,35.7,37616.0,20335.0,13396.0,22.937177884697704,9887.0,48516
103,10474,735632,12723.0,28.5,23297.0,11370.0,5118.0,40.22636170714454,5121.0,7602
104,10475,334343,41625.0,45.8,45460.0,26505.0,5313.0,12.763963963963963,7885.0,33740
105,11004,122536,14178.0,40.8,78766.0,34882.0,914.0,6.446607419946396,6902.0,7276
106,11005,15602,1963.0,79.9,70036.0,82709.0,43.0,2.1905247070809986,1945.0,18
107,11101,3923484,24405.0,33.9,43909.0,27987.0,4747.0,19.450932186027455,12286.0,12119
108,11102,289429,33742.0,32.7,48548.0,27385.0,5690.0,16.863256475609035,19869.0,13873
109,11103,250630,36724.0,35.0,55844.0,31958.0,4923.0,13.40540246160549,28036.0,8688
110,11104,215107,26321.0,37.2,54188.0,30219.0,3025.0,11.49272444056077,16209.0,10112
111,11105,539065,37438.0,35.2,57576.0,32505.0,5096.0,13.61183823922218,29543.0,7895
112,11106,376731,36958.0,35.9,49371.0,30492.0,7948.0,21.50549272146761,22554.0,14404
113,11109,8388,3272.0,31.5,126225.0,86873.0,213.0,6.509779951100245,2454.0,818
114,11201,2703614,52242.0,35.3,93693.0,69156.0,6816.0,13.046973699322384,34805.0,17437
115,11203,1018576,80202.0,38.1,49002.0,22302.0,11878.0,14.810104486172415,3533.0,76669
116,11204,324082,80341.0,33.8,45112.0,19898.0,16596.0,20.65694975168345,54966.0,25375
117,11205,449972,40125.0,29.6,42434.0,25960.0,13648.0,34.01370716510903,19513.0,20612
118,11206,539679,80086.0,28.4,28584.0,15185.0,29047.0,36.26976000799141,34601.0,45485
119,11207,406797,92054.0,29.9,32642.0,15608.0,30463.0,33.09253264388294,13953.0,78101
120,11208,335016,93998.0,30.5,35665.0,14907.0,30097.0,32.01876635673099,33227.0,60771
121,11209,608745,72434.0,38.1,57713.0,35436.0,10023.0,13.83742441394925,56762.0,15672
122,11210,292751,64041.0,34.7,54664.0,25516.0,9634.0,15.04348776565013,22743.0,41298
123,11211,847261,90510.0,29.2,44173.0,25768.0,31188.0,34.4580709313888,75482.0,15028
124,11212,396670,81267.0,32.1,27901.0,15405.0,27429.0,33.75170733508066,3782.0,77485
125,11213,225955,61495.0,32.3,35344.0,18572.0,16958.0,27.576225709407268,12931.0,48564
126,11214,377269,81428.0,39.8,41246.0,21616.0,14458.0,17.755563196934716,47033.0,34395
127,11215,837133,67195.0,34.1,93184.0,55199.0,5759.0,8.570578168018454,50370.0,16825
128,11216,122039,53662.0,34.6,41688.0,24839.0,12565.0,23.415079572136708,7070.0,46592
129,11217,589896,38398.0,35.4,78591.0,49748.0,5167.0,13.456430022396999,20202.0,18196
130,11218,358081,74571.0,32.9,53251.0,23960.0,17396.0,23.328103418218877,44232.0,30339
131,11219,1222037,95069.0,28.5,34590.0,14932.0,31683.0,33.32632088272728,63662.0,31407
132,11220,939853,100476.0,32.5,38267.0,16676.0,28798.0,28.661570922409332,34827.0,65649
133,11221,128631,80254.0,31.2,37608.0,18032.0,22443.0,27.964961248037483,22638.0,57616
134,11222,693902,33718.0,33.6,62634.0,38113.0,4166.0,12.355418470846432,28552.0,5166
135,11223,438827,74700.0,40.2,40960.0,22046.0,11901.0,15.931726907630521,48920.0,25780
136,11224,214661,44047.0,48.7,31415.0,20067.0,11206.0,25.441006197924946,26455.0,17592
137,11225,110264,60179.0,33.9,40481.0,21524.0,12969.0,21.550707057279116,9164.0,51015
138,11226,255714,99285.0,34.3,40146.0,19527.0,20334.0,20.480435111043963,10320.0,88965
