,ZIPCODE,Total Annual Payroll,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Whites Alone,Non Whites
0,10001,9226142,23537.0,35.6,86801.0,80990.0,4610.0,19.586183455835492,14180.0,9357
1,10002,697785,80736.0,40.8,33726.0,27867.0,24215.0,29.992816091954023,23866.0,56870
2,10003,7065453,57112.0,32.1,98151.0,80936.0,4908.0,8.59364056590559,44339.0,12773
3,10004,11405126,3221.0,33.1,119691.0,90205.0,218.0,6.768084445824278,2274.0,947
4,10005,6553790,8131.0,29.4,124194.0,96940.0,864.0,10.625999262083385,6126.0,2005
5,10006,2438770,3110.0,31.4,123691.0,96121.0,250.0,8.038585209003216,2237.0,873
6,10007,3148694,6876.0,35.4,250001.0,184886.0,191.0,2.7777777777777777,4895.0,1981
7,10009,442831,60865.0,37.0,59090.0,44839.0,13840.0,22.738848270763164,36295.0,24570
8,10010,7934210,31447.0,34.6,101718.0,82453.0,4277.0,13.600661430343116,22901.0,8546
9,10011,5320272,52349.0,39.5,109818.0,114034.0,4336.0,8.282870732965291,41472.0,10877
10,10012,2599324,24163.0,34.2,100859.0,77687.0,2379.0,9.845631751024293,18059.0,6104
11,10013,7747673,27415.0,36.9,96667.0,105629.0,3178.0,11.59219405434981,15066.0,12349
12,10014,2952515,30727.0,37.0,113973.0,112694.0,1758.0,5.7213525563836365,27210.0,3517
13,10016,9937677,50641.0,33.4,104826.0,88937.0,4862.0,9.600916253628483,36436.0,14205
14,10017,20255599,16472.0,37.4,106421.0,102122.0,1235.0,7.497571636716853,12121.0,4351
15,10018,11103028,9168.0,30.7,105500.0,79765.0,1364.0,14.877835951134381,5387.0,3781
16,10019,20942515,38830.0,39.2,94022.0,89202.0,4644.0,11.959824877671902,27740.0,11090
17,10020,4852186,0.0,,,,0.0,,0.0,0
18,10021,5561997,43573.0,39.5,115076.0,119996.0,2767.0,6.350262777408028,36425.0,7148
19,10022,22165514,30607.0,45.5,126378.0,139507.0,1525.0,4.982520338484661,26207.0,4400
20,10023,2853723,60586.0,42.1,111478.0,103249.0,4825.0,7.963886046281319,49823.0,10763
21,10024,893579,58391.0,42.5,113839.0,101201.0,4183.0,7.163775239334829,47504.0,10887
22,10025,1004626,96068.0,40.3,74065.0,58664.0,14911.0,15.521297414331515,62344.0,33724
23,10026,104482,38310.0,34.2,47264.0,32424.0,11041.0,28.82015139650222,9893.0,28417
24,10027,2554411,64413.0,30.2,40782.0,26953.0,18464.0,28.665021036126248,18553.0,45860
25,10028,946715,46883.0,39.6,114939.0,110585.0,2343.0,4.997547085297443,41841.0,5042
26,10029,2206982,79251.0,33.3,31350.0,25697.0,23401.0,29.527703120465358,24525.0,54726
27,10030,79175,29209.0,34.1,33196.0,23818.0,8500.0,29.100619672018897,4291.0,24918
28,10031,138203,59244.0,33.8,39774.0,23542.0,14725.0,24.854837620687327,16700.0,42544
29,10032,1231308,62685.0,34.2,37280.0,19479.0,18187.0,29.013320571109517,19021.0,43664
30,10033,229284,59844.0,35.8,44933.0,23904.0,14637.0,24.45859234008422,24272.0,35572
31,10034,139458,43405.0,35.5,42581.0,23256.0,11359.0,26.16979610643935,16096.0,27309
32,10035,459685,33920.0,35.2,27424.0,20371.0,13117.0,38.670400943396224,7220.0,26700
33,10036,21157903,25799.0,37.0,75966.0,73546.0,3366.0,13.047017326252956,16669.0,9130
34,10037,215384,18777.0,36.1,35491.0,25883.0,5384.0,28.673377003781223,2020.0,16757
35,10038,3718783,21464.0,33.6,76379.0,59468.0,3789.0,17.65281401416325,10899.0,10565
36,10039,49017,26697.0,32.4,33558.0,22260.0,7734.0,28.969547140128103,3456.0,23241
37,10040,138107,44378.0,37.8,46200.0,23847.0,8985.0,20.24651854522511,16278.0,28100
38,10044,84344,11783.0,40.9,91383.0,48285.0,1155.0,9.802257489603667,6261.0,5522
39,10069,27663,5526.0,34.6,163750.0,120573.0,436.0,7.889974665218965,4245.0,1281
40,10103,1287397,0.0,,,,0.0,,0.0,0
41,10110,274763,0.0,,,,0.0,,0.0,0
42,10111,652097,0.0,,,,0.0,,0.0,0
43,10112,1302662,0.0,,,,0.0,,0.0,0
44,10115,134902,0.0,,,,0.0,,0.0,0
45,10119,954690,0.0,,,,0.0,,0.0,0
46,10128,859011,61927.0,39.1,100200.0,90805.0,4441.0,7.171346908456731,50335.0,11592
47,10152,695698,0.0,,,,0.0,,0.0,0
48,10153,1624500,0.0,,,,0.0,,0.0,0
49,10154,1347006,0.0,,,,0.0,,0.0,0
50,10162,6250,1289.0,44.4,193510.0,112223.0,0.0,0.0,1243.0,46
51,10165,352156,0.0,,,,0.0,,0.0,0
52,10167,1469382,0.0,,,,0.0,,0.0,0
53,10168,335113,0.0,,,,0.0,,0.0,0
54,10169,581716,0.0,,,,0.0,,0.0,0
55,10170,567817,0.0,,,,0.0,,0.0,0
56,10171,661425,0.0,,,,0.0,,0.0,0
57,10172,1324875,0.0,,,,0.0,,0.0,0
58,10173,377854,0.0,,,,0.0,,0.0,0
59,10174,530189,0.0,,,,0.0,,0.0,0
60,10177,929539,0.0,,,,0.0,,0.0,0
61,10199,936,0.0,,,,0.0,,0.0,0
62,10271,456814,0.0,,,,0.0,,0.0,0
63,10278,37762,0.0,,,,0.0,,0.0,0
64,10279,132685,0.0,,,,0.0,,0.0,0
65,10280,51024,9552.0,37.2,145432.0,95071.0,435.0,4.5540201005025125,6962.0,2590
66,10282,166253,5730.0,33.0,250001.0,137952.0,197.0,3.43804537521815,4042.0,1688
67,10301,266181,39209.0,35.8,54605.0,27485.0,8094.0,20.643219668953556,21990.0,17219
68,10302,205610,18286.0,32.9,54170.0,23486.0,4330.0,23.679317510663896,10994.0,7292
69,10303,306306,23933.0,32.9,52553.0,21408.0,6097.0,25.475285171102662,8894.0,15039
70,10304,202191,42244.0,35.6,54106.0,28842.0,8004.0,18.94706940630622,21743.0,20501
71,10305,790260,41795.0,39.5,72782.0,29938.0,5095.0,12.190453403517168,31948.0,9847
72,10306,348071,54939.0,41.9,79686.0,35632.0,4416.0,8.038005788237864,48704.0,6235
