,Year,Zip,Total Annual Payroll,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Whites Alone,Non Whites
2145,2016,10013,6381052.0,28211.0,36.9,104167.0,108003.0,2805.0,9.942930062741485,15813.0,12398.0
2146,2016,10013,6896775.0,28211.0,36.9,104167.0,108003.0,2805.0,9.942930062741485,15813.0,12398.0
2147,2016,10013,7492878.0,28211.0,36.9,104167.0,108003.0,2805.0,9.942930062741485,15813.0,12398.0
2148,2016,10013,7747673.0,28211.0,36.9,104167.0,108003.0,2805.0,9.942930062741485,15813.0,12398.0
2149,2016,10013,8251251.0,28211.0,36.9,104167.0,108003.0,2805.0,9.942930062741485,15813.0,12398.0
2150,2016,10014,2571695.0,31464.0,36.6,119026.0,115888.0,1874.0,5.956013221459446,27978.0,3486.0
2151,2016,10014,2728947.0,31464.0,36.6,119026.0,115888.0,1874.0,5.956013221459446,27978.0,3486.0
2152,2016,10014,2774296.0,31464.0,36.6,119026.0,115888.0,1874.0,5.956013221459446,27978.0,3486.0
2153,2016,10014,2952515.0,31464.0,36.6,119026.0,115888.0,1874.0,5.956013221459446,27978.0,3486.0
2154,2016,10014,3085067.0,31464.0,36.6,119026.0,115888.0,1874.0,5.956013221459446,27978.0,3486.0
2155,2016,10016,8483270.0,50444.0,33.3,102703.0,87451.0,5095.0,10.100309253826023,36626.0,13818.0
2156,2016,10016,8781787.0,50444.0,33.3,102703.0,87451.0,5095.0,10.100309253826023,36626.0,13818.0
2157,2016,10016,9202349.0,50444.0,33.3,102703.0,87451.0,5095.0,10.100309253826023,36626.0,13818.0
2158,2016,10016,9937677.0,50444.0,33.3,102703.0,87451.0,5095.0,10.100309253826023,36626.0,13818.0
2159,2016,10016,9941135.0,50444.0,33.3,102703.0,87451.0,5095.0,10.100309253826023,36626.0,13818.0
2160,2016,10017,19166152.0,16533.0,37.7,106795.0,103346.0,995.0,6.018266497308414,11965.0,4568.0
2161,2016,10017,19801348.0,16533.0,37.7,106795.0,103346.0,995.0,6.018266497308414,11965.0,4568.0
2162,2016,10017,19910777.0,16533.0,37.7,106795.0,103346.0,995.0,6.018266497308414,11965.0,4568.0
2163,2016,10017,20255599.0,16533.0,37.7,106795.0,103346.0,995.0,6.018266497308414,11965.0,4568.0
2164,2016,10017,20206253.0,16533.0,37.7,106795.0,103346.0,995.0,6.018266497308414,11965.0,4568.0
2165,2016,10018,9874383.0,9684.0,31.2,105479.0,81964.0,1492.0,15.406856670797193,5724.0,3960.0
2166,2016,10018,10174317.0,9684.0,31.2,105479.0,81964.0,1492.0,15.406856670797193,5724.0,3960.0
2167,2016,10018,10547799.0,9684.0,31.2,105479.0,81964.0,1492.0,15.406856670797193,5724.0,3960.0
2168,2016,10018,11103028.0,9684.0,31.2,105479.0,81964.0,1492.0,15.406856670797193,5724.0,3960.0
2169,2016,10018,11358817.0,9684.0,31.2,105479.0,81964.0,1492.0,15.406856670797193,5724.0,3960.0
2170,2016,10019,17441129.0,39505.0,39.2,94477.0,90151.0,4658.0,11.790912542716113,27568.0,11937.0
2171,2016,10019,17952778.0,39505.0,39.2,94477.0,90151.0,4658.0,11.790912542716113,27568.0,11937.0
2172,2016,10019,20099121.0,39505.0,39.2,94477.0,90151.0,4658.0,11.790912542716113,27568.0,11937.0
2173,2016,10019,20942515.0,39505.0,39.2,94477.0,90151.0,4658.0,11.790912542716113,27568.0,11937.0
2174,2016,10019,21082378.0,39505.0,39.2,94477.0,90151.0,4658.0,11.790912542716113,27568.0,11937.0
2180,2016,10021,4782849.0,45261.0,38.4,115681.0,116440.0,3045.0,6.7276463180221375,37409.0,7852.0
2181,2016,10021,4904606.0,45261.0,38.4,115681.0,116440.0,3045.0,6.7276463180221375,37409.0,7852.0
2182,2016,10021,5170312.0,45261.0,38.4,115681.0,116440.0,3045.0,6.7276463180221375,37409.0,7852.0
2183,2016,10021,5561997.0,45261.0,38.4,115681.0,116440.0,3045.0,6.7276463180221375,37409.0,7852.0
2184,2016,10021,5807071.0,45261.0,38.4,115681.0,116440.0,3045.0,6.7276463180221375,37409.0,7852.0
2185,2016,10022,20186272.0,30262.0,45.9,123693.0,133504.0,1454.0,4.804705571343598,25795.0,4467.0
2186,2016,10022,19709651.0,30262.0,45.9,123693.0,133504.0,1454.0,4.804705571343598,25795.0,4467.0
2187,2016,10022,21632582.0,30262.0,45.9,123693.0,133504.0,1454.0,4.804705571343598,25795.0,4467.0
2188,2016,10022,22165514.0,30262.0,45.9,123693.0,133504.0,1454.0,4.804705571343598,25795.0,4467.0
2189,2016,10022,23065864.0,30262.0,45.9,123693.0,133504.0,1454.0,4.804705571343598,25795.0,4467.0
2190,2016,10023,2498714.0,60307.0,42.5,115080.0,111473.0,4419.0,7.327507586184025,49506.0,10801.0
2191,2016,10023,2643590.0,60307.0,42.5,115080.0,111473.0,4419.0,7.327507586184025,49506.0,10801.0
2192,2016,10023,2747011.0,60307.0,42.5,115080.0,111473.0,4419.0,7.327507586184025,49506.0,10801.0
2193,2016,10023,2853723.0,60307.0,42.5,115080.0,111473.0,4419.0,7.327507586184025,49506.0,10801.0
2194,2016,10023,2889492.0,60307.0,42.5,115080.0,111473.0,4419.0,7.327507586184025,49506.0,10801.0
2195,2016,10024,789282.0,58516.0,43.0,118594.0,106735.0,4440.0,7.587668330029393,47632.0,10884.0
2196,2016,10024,796379.0,58516.0,43.0,118594.0,106735.0,4440.0,7.587668330029393,47632.0,10884.0
2197,2016,10024,890513.0,58516.0,43.0,118594.0,106735.0,4440.0,7.587668330029393,47632.0,10884.0
2198,2016,10024,893579.0,58516.0,43.0,118594.0,106735.0,4440.0,7.587668330029393,47632.0,10884.0
2199,2016,10024,947895.0,58516.0,43.0,118594.0,106735.0,4440.0,7.587668330029393,47632.0,10884.0
2200,2016,10025,1007483.0,94717.0,40.6,80025.0,63711.0,14515.0,15.324598540916623,62509.0,32208.0
2201,2016,10025,1029719.0,94717.0,40.6,80025.0,63711.0,14515.0,15.324598540916623,62509.0,32208.0
2202,2016,10025,972374.0,94717.0,40.6,80025.0,63711.0,14515.0,15.324598540916623,62509.0,32208.0
2203,2016,10025,1004626.0,94717.0,40.6,80025.0,63711.0,14515.0,15.324598540916623,62509.0,32208.0
2204,2016,10025,1009275.0,94717.0,40.6,80025.0,63711.0,14515.0,15.324598540916623,62509.0,32208.0
2205,2016,10026,84881.0,38540.0,34.4,52082.0,36542.0,10994.0,28.52620653866113,10025.0,28515.0
2206,2016,10026,84055.0,38540.0,34.4,52082.0,36542.0,10994.0,28.52620653866113,10025.0,28515.0
2207,2016,10026,93200.0,38540.0,34.4,52082.0,36542.0,10994.0,28.52620653866113,10025.0,28515.0
2208,2016,10026,104482.0,38540.0,34.4,52082.0,36542.0,10994.0,28.52620653866113,10025.0,28515.0
2209,2016,10026,114133.0,38540.0,34.4,52082.0,36542.0,10994.0,28.52620653866113,10025.0,28515.0
2210,2016,10027,2135055.0,64120.0,30.6,42754.0,28396.0,17374.0,27.096069868995638,19234.0,44886.0
2211,2016,10027,2242627.0,64120.0,30.6,42754.0,28396.0,17374.0,27.096069868995638,19234.0,44886.0
2212,2016,10027,2396356.0,64120.0,30.6,42754.0,28396.0,17374.0,27.096069868995638,19234.0,44886.0
2213,2016,10027,2554411.0,64120.0,30.6,42754.0,28396.0,17374.0,27.096069868995638,19234.0,44886.0
2214,2016,10027,2683670.0,64120.0,30.6,42754.0,28396.0,17374.0,27.096069868995638,19234.0,44886.0
2215,2016,10028,1168628.0,48205.0,39.6,111302.0,108183.0,2840.0,5.891505030598487,41499.0,6706.0
2216,2016,10028,1165739.0,48205.0,39.6,111302.0,108183.0,2840.0,5.891505030598487,41499.0,6706.0
2217,2016,10028,851563.0,48205.0,39.6,111302.0,108183.0,2840.0,5.891505030598487,41499.0,6706.0
2218,2016,10028,946715.0,48205.0,39.6,111302.0,108183.0,2840.0,5.891505030598487,41499.0,6706.0
2219,2016,10028,920912.0,48205.0,39.6,111302.0,108183.0,2840.0,5.891505030598487,41499.0,6706.0
2221,2016,10029,1757880.0,79411.0,33.6,32500.0,27030.0,24025.0,30.25399503847074,27547.0,51864.0
